1578318089660,51464,455738,4,3.008,-1.785,0.000,255,0,
1578318092742,3082,458820,1,0.000,0.000,0.000,255,0,
1578318093432,690,459510,3,7.863,0.000,0.000,255,0,
1578318094687,1255,460765,6,0.000,0.000,0.000,1,0.000,3,0.000,4,0.000,255,0,
1578318097621,2934,463699,6,3.652,-0.658,-2.125,1,0.000,3,0.000,4,0.000,255,0,
1578318097784,163,463862,6,3.652,-0.658,-2.125,1,4.275,3,4.769,4,2.490,255,0,
1578318097903,119,463981,6,3.652,-0.658,-2.125,1,4.277,3,4.769,4,2.490,255,0,
1578318098052,149,464130,6,3.652,-0.658,-2.125,1,4.272,3,4.767,4,2.493,255,0,
1578318098184,132,464262,6,3.652,-0.658,-2.125,1,4.272,3,4.767,4,2.493,255,0,
1578318098319,135,464397,6,3.652,-0.658,-2.125,1,4.276,3,4.765,4,2.492,255,0,
1578318098464,145,464542,6,3.845,-0.693,-2.238,1,4.278,3,4.765,4,2.494,255,0,
1578318098628,164,464706,6,3.736,-0.674,-2.177,1,4.273,3,4.765,4,2.493,255,0,
1578318098744,116,464822,6,3.680,-0.663,-2.145,1,4.273,3,4.765,4,2.493,255,0,
1578318098923,179,465001,6,3.661,-0.658,-2.134,1,4.275,3,4.762,4,2.493,255,0,
1578318099014,91,465092,6,3.655,-0.656,-2.130,1,4.275,3,4.762,4,2.493,255,0,
1578318099167,153,465245,6,3.651,-0.655,-2.128,1,4.273,3,4.761,4,2.492,255,0,
1578318099298,131,465376,6,3.650,-0.654,-2.127,1,4.274,3,4.765,4,2.494,255,0,
1578318099431,133,465509,6,3.649,-0.653,-2.126,1,4.274,3,4.765,4,2.492,255,0,
1578318099621,190,465699,6,3.649,-0.651,-2.125,1,4.278,3,4.764,4,2.491,255,0,
1578318099742,121,465820,4,3.008,-1.785,0.000,255,0,
1578318099742,0,465820,6,3.650,-0.650,-2.125,1,4.278,3,4.764,4,2.491,255,0,
1578318099857,115,465935,6,3.650,-0.650,-2.125,1,4.278,3,4.764,4,2.490,255,0,
1578318100027,170,466105,6,3.649,-0.651,-2.125,1,4.273,3,4.764,4,2.493,255,0,
1578318100144,117,466222,6,3.649,-0.653,-2.125,1,4.272,3,4.764,4,2.491,255,0,
1578318100268,124,466346,6,3.650,-0.656,-2.126,1,4.273,3,4.764,4,2.491,255,0,
1578318100413,145,466491,6,3.650,-0.658,-2.126,1,4.272,3,4.759,4,2.490,255,0,
1578318100552,139,466630,6,3.650,-0.658,-2.125,1,4.272,3,4.762,4,2.492,255,0,
1578318100684,132,466762,6,3.649,-0.656,-2.125,1,4.273,3,4.762,4,2.493,255,0,
1578318100829,145,466907,6,3.649,-0.654,-2.124,1,4.274,3,4.763,4,2.490,255,0,
1578318100958,129,467036,6,3.649,-0.653,-2.124,1,4.274,3,4.763,4,2.490,255,0,
1578318101098,140,467176,6,3.648,-0.650,-2.122,1,4.292,3,4.753,4,2.496,255,0,
1578318101237,139,467315,6,3.647,-0.648,-2.122,1,4.314,3,4.738,4,2.497,255,0,
1578318101372,135,467450,6,3.646,-0.649,-2.122,1,4.354,3,4.687,4,2.520,255,0,
1578318101525,153,467603,6,3.645,-0.652,-2.123,1,4.433,3,4.641,4,2.534,255,0,
1578318101674,149,467752,6,3.651,-0.661,-2.124,1,4.454,3,4.592,4,2.550,255,0,
