6.3083,0.9873,0.0697,0.9976
6.291,0.9815,0.1329,0.9911
6.2819,0.9783,0.1913,0.9815
6.287,0.9858,0.2143,0.9768
6.2921,1.0029,0.2752,0.9613
6.3524,1.0423,0.2812,0.9596
6.4242,1.0868,0.2813,0.9596
6.4801,1.1221,0.2782,0.9605
6.54,1.1618,0.2798,0.9601
6.5935,1.1985,0.2846,0.9586
6.6564,1.239,0.2863,0.9581
6.7173,1.2843,0.2843,0.9587
6.7444,1.312,0.2318,0.9728
6.733,1.3282,0.1686,0.9857
6.7286,1.3304,0.1443,0.9895
6.7761,1.3332,0.1418,0.9896
6.8228,1.3556,0.1578,0.9875
6.8895,1.3812,0.165,0.9863
6.9537,1.4144,0.1723,0.985
7.0453,1.442,0.1701,0.9854
7.1157,1.4683,0.1701,0.9854
7.1832,1.4946,0.1706,0.9853
7.2426,1.5159,0.1691,0.9856
7.3173,1.5524,0.1677,0.9858
7.3822,1.5735,0.1654,0.9862
7.4518,1.598,0.1623,0.9867
7.5329,1.6175,0.1619,0.9868
7.6021,1.6411,0.1631,0.9866
7.6624,1.6605,0.1615,0.9869
7.7342,1.6804,0.1596,0.9872
7.8126,1.7065,0.1541,0.9881
7.8717,1.7224,0.1536,0.9881
7.9466,1.7483,0.1587,0.9873
8.0085,1.7703,0.1597,0.9872
8.0758,1.7954,0.1605,0.987
8.1477,1.8192,0.1575,0.9875
8.2131,1.8442,0.1843,0.9829
8.2697,1.8568,0.2196,0.9756
8.3215,1.8673,0.2542,0.9671
8.3783,1.8927,0.306,0.952
8.4198,1.9398,0.3498,0.9368
8.4549,1.9989,0.4052,0.9142
8.4888,2.0537,0.4551,0.8904
8.5154,2.1023,0.489,0.8723
8.5329,2.1903,0.549,0.8358
8.5401,2.267,0.6021,0.7984
8.5539,2.3234,0.6109,0.7917
8.5736,2.3924,0.6086,0.7935
8.5933,2.4797,0.6099,0.7925
8.6068,2.5403,0.6116,0.7912
8.6293,2.6216,0.6111,0.7916
8.6455,2.6985,0.6144,0.789
8.6639,2.7681,0.6115,0.7912
8.6765,2.8361,0.616,0.7877
8.6935,2.905,0.6198,0.7848
8.7116,2.985,0.6202,0.7845
8.7281,3.0599,0.6193,0.7852
8.7444,3.1244,0.6194,0.7851
8.7606,3.1948,0.6203,0.7843
8.7764,3.2753,0.6224,0.7827
8.7924,3.3462,0.6233,0.782
8.8074,3.4181,0.6239,0.7815
8.8222,3.4863,0.6242,0.7812
8.84,3.5575,0.6241,0.7814
8.8523,3.6272,0.6259,0.7799
8.8695,3.7082,0.6251,0.7806
8.8851,3.7807,0.6254,0.7803
8.901,3.8582,0.6243,0.7812
8.916,3.9238,0.6229,0.7823
8.9317,3.9962,0.6246,0.781
8.9454,4.0605,0.6295,0.777
8.9505,4.0845,0.6244,0.7811
8.9435,4.0755,0.6413,0.7673
8.9224,4.0802,0.7018,0.7123
8.9001,4.0813,0.7462,0.6657
8.8848,4.0773,0.7622,0.6474
8.8973,4.0873,0.767,0.6417
8.8942,4.087,0.741,0.6715
8.8908,4.0779,0.7225,0.6913
8.8771,4.0679,0.723,0.6908
8.8502,4.0864,0.7185,0.6955
8.8508,4.1185,0.7164,0.6977
8.8481,4.1886,0.7186,0.6954
8.8428,4.2694,0.7155,0.6986
8.8426,4.3431,0.7149,0.6992
8.8387,4.4067,0.7149,0.6992
8.8357,4.4851,0.7175,0.6966
8.8332,4.5525,0.7181,0.6959
8.8298,4.6244,0.7175,0.6966
8.8297,4.6986,0.7202,0.6938
8.8272,4.7635,0.7181,0.696
8.8262,4.84,0.7199,0.6941
8.8225,4.9062,0.7202,0.6938
8.8187,4.9815,0.72,0.694
8.8147,5.0735,0.7215,0.6925
8.8109,5.1402,0.7202,0.6937
8.8075,5.2063,0.72,0.6939
8.8024,5.2772,0.7215,0.6924
8.7978,5.3576,0.7196,0.6944
8.7948,5.4265,0.7194,0.6946
8.7921,5.5099,0.7206,0.6934
8.7876,5.5765,0.7201,0.6938
8.7831,5.6397,0.7231,0.6908
8.7763,5.7212,0.7245,0.6892
8.7729,5.7923,0.7232,0.6906
8.7675,5.8678,0.7249,0.6888
8.7649,5.9208,0.7256,0.6881
8.773,5.9342,0.7016,0.7125
8.7664,5.9522,0.6967,0.7173
8.7679,6.0015,0.7004,0.7138
8.7688,6.0737,0.7005,0.7136
8.7708,6.1418,0.7014,0.7128
8.7708,6.2242,0.7028,0.7114
8.7714,6.2991,0.7029,0.7113
8.7716,6.3641,0.7033,0.7109
8.7721,6.4537,0.7037,0.7105
8.7741,6.5274,0.7022,0.712
8.774,6.5951,0.702,0.7121
8.7752,6.6703,0.7013,0.7129
8.777,6.7409,0.7004,0.7138
8.7777,6.8184,0.7014,0.7128
8.7788,6.8938,0.7012,0.713
8.7801,6.9825,0.701,0.7131
8.7812,7.0573,0.7009,0.7133
8.7814,7.1338,0.6985,0.7156
8.781,7.2041,0.7006,0.7135
8.7818,7.2686,0.7017,0.7125
8.7835,7.3406,0.7009,0.7133
8.7846,7.4222,0.7011,0.713
8.7865,7.5046,0.7008,0.7134
8.7873,7.5759,0.701,0.7131
8.7866,7.6533,0.7032,0.7109
8.7866,7.7345,0.7033,0.7109
8.7841,7.8116,0.7035,0.7107
8.7846,7.8847,0.7051,0.7091
8.7845,7.9656,0.7031,0.7111
8.7837,8.0332,0.7043,0.7099
8.7858,8.1079,0.7053,0.7089
8.7856,8.1836,0.7046,0.7096
8.7843,8.2461,0.705,0.7092
8.7862,8.3353,0.7029,0.7113
8.7864,8.3995,0.7017,0.7125
8.7863,8.4786,0.704,0.7102
8.7873,8.5547,0.702,0.7122
8.7887,8.6225,0.7027,0.7115
8.788,8.6987,0.7028,0.7114
8.79,8.78,0.7018,0.7124
8.7911,8.8489,0.7029,0.7112
8.7918,8.9127,0.703,0.7112
8.7902,8.9844,0.7008,0.7134
8.7924,9.0577,0.7011,0.713
8.7935,9.1283,0.7013,0.7129
8.7947,9.2043,0.7019,0.7123
8.794,9.2722,0.7024,0.7118
8.7937,9.338,0.7012,0.713
8.7932,9.4131,0.7022,0.712
8.7926,9.4894,0.7015,0.7127
8.7933,9.5677,0.7009,0.7132
8.7918,9.6512,0.7001,0.714
8.7915,9.709,0.6994,0.7147
8.7939,9.7813,0.6983,0.7158
8.7946,9.8511,0.6991,0.715
8.7993,9.92,0.6994,0.7147
8.8,10.0006,0.6999,0.7142
8.8005,10.0738,0.7008,0.7133
8.8012,10.1493,0.7005,0.7137
8.8026,10.2193,0.7026,0.7116
8.8032,10.2846,0.7029,0.7113
8.8046,10.3601,0.7013,0.7128
8.8029,10.4285,0.7017,0.7125
8.8026,10.5008,0.7019,0.7123
8.803,10.5771,0.7014,0.7128
8.8036,10.643,0.7019,0.7123
8.8064,10.7165,0.7009,0.7133
8.8068,10.78,0.7,0.7141
8.8075,10.843,0.7005,0.7137
8.8085,10.9127,0.6994,0.7147
8.8072,10.9806,0.702,0.7122
8.8089,11.0557,0.7021,0.7121
8.8092,11.1178,0.6995,0.7147
8.8115,11.1747,0.6995,0.7146
8.8135,11.2476,0.6994,0.7148
8.8134,11.3049,0.7003,0.7139
8.8132,11.3511,0.7013,0.7129
8.8164,11.4256,0.7015,0.7127
8.8178,11.4599,0.6995,0.7146
8.8204,11.5099,0.7004,0.7137
8.8204,11.5845,0.6989,0.7152
8.8214,11.6066,0.6999,0.7143
8.8246,11.6345,0.6992,0.7149
8.8258,11.7156,0.698,0.7161
8.8269,11.7409,0.6977,0.7164
8.8276,11.8055,0.6966,0.7174
8.8287,11.864,0.6973,0.7168
8.8297,11.9006,0.6986,0.7155
8.8311,11.9836,0.6989,0.7152
8.8296,12.0434,0.7,0.7141
8.8313,12.1003,0.7007,0.7135
